case_id,firm_symbol,claim_id,opened_day,legal_track,authority,state,priority,trigger,assessment_id,correction_due_day,decision_day,publication_day,closed_day,remedy,calculated_penalty,applicable_cap,applied_penalty,redress,cross_border_consumer_case,duration_days,state_history,outcome,confidence,rule_ids,reasons,policy_regime
R-660-173,BRN2,C-BRN2-97,660,consumer,directive_2024_825,under_assessment,0.92,risk_screening,A-660-173,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,prohibited_practice,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-660-174,GRN2,C-GRN2-87,660,sustainability_reporting,csrd,under_assessment,0.9071466910160582,random_surveillance,A-660-174,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.6056921534206976,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-660-175,GRN2,C-GRN2-94,660,financial_markets,market_disclosure,under_assessment,0.9018710493276814,risk_screening,A-660-175,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.6055040322580646,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-176,BRN3,C-BRN3-62,660,financial_markets,market_disclosure,under_assessment,0.9000000000000001,risk_screening,A-660-176,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.24726239641469963,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-177,BRN1,C-BRN1-87,660,sustainability_reporting,csrd,under_assessment,0.8942476656221445,random_surveillance,A-660-177,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.6054403979079186,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-660-178,BRN1,C-BRN1-96,660,financial_markets,market_disclosure,under_assessment,0.8875064610265777,random_surveillance,A-660-178,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.6031152670809388,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-179,BRN1,C-BRN1-93,660,consumer,directive_2024_825,under_assessment,0.8523229073316334,risk_screening,A-660-179,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.6055040322580646,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-660-180,GRN2,C-GRN2-89,660,sustainability_reporting,csrd,under_assessment,0.8512454748579711,risk_screening,A-660-180,,,,,none,0.0,0.0,0.0,0.0,False,,660:screened|660:evidence_requested|660:under_assessment,systemic_abuse,0.6055040322580646,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-780-181,BRN1,C-BRN1-110,780,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-780-181,,1320,1320,1320,correct_and_publish,458767.72971044824,6000000.0,458767.73,0.0,False,540,780:screened|780:evidence_requested|780:under_assessment|1320:formal_investigation|1320:decided|1320:published|1320:closed,systemic_abuse,0.6055040322580646,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-182,BRN1,C-BRN1-113,780,consumer,directive_2024_825,closed,0.94,risk_screening,A-780-182,,1320,1320,1320,withdraw_publish_and_redress,1116974.1291657942,6000000.0,1116974.13,24000.0,False,540,780:screened|780:evidence_requested|780:under_assessment|1320:formal_investigation|1320:decided|1320:published|1320:closed,prohibited_practice,0.3659937598880548,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
