day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth,market_maker_wealth,manipulator_wealth,p_green,aggregate_dg,credibility_index,scandals_cum,greenwash_extracted,green_bond_stock,bond_coupons_cum,bank_required_reserves,reserve_shortfalls_cum,BRN1_disclosed,BRN1_true,BRN2_disclosed,BRN2_true,BRN3_disclosed,BRN3_true,MID1_disclosed,MID1_true,MID2_disclosed,MID2_true,MID3_disclosed,MID3_true,MID4_disclosed,MID4_true,GRN1_disclosed,GRN1_true,GRN2_disclosed,GRN2_true,GRN3_disclosed,GRN3_true
137,101.83329670329674,2494360.237214483,32,33,35,106335.29709474975,104812.75600347458,104219.92221254535,2069727.3438525398,2391305.592492532,1.1919410724258555,-0.015708146060544857,0.6614399999999994,0,50982.81887064254,0.0,0.0,0.0,0,0.25,0.03285765243527741,0.35,0.1085463097153453,0.20631843707799616,0.18281375281254825,0.5499999999999999,0.24807170298943007,0.3545875949718951,0.312538709933621,0.75,0.36870314384129854,0.5112260054455449,0.4521514363507783,0.6111199999999999,0.5519999999999998,0.99,0.6519999999999998,0.8111199999999998,0.7519999999999998
138,102.31589285714288,2512179.62945093,32,33,35,106633.42843314023,104952.47823217942,104367.26504871079,2074556.5489318934,2394387.9878644976,1.2496527132400514,-0.01622157996551261,0.6614399999999994,0,52244.68648812952,0.0,0.0,0.0,0,0.25,0.03212540263946509,0.35,0.10756311540389234,0.20631843707799616,0.18163366897406052,0.5499999999999999,0.24652100241545227,0.3545875949718951,0.3107633584878392,0.75,0.36670314384129854,0.5112260054455449,0.4501514363507783,0.6111199999999999,0.5499999999999998,0.99,0.6499999999999998,0.8111199999999998,0.7499999999999998
139,102.31589285714288,2512179.62945093,32,33,35,106634.39272252379,104955.07534125808,104367.43050430398,2074638.1899528163,2394436.742984065,1.2496527132400514,0.0,0.6614399999999994,0,52244.68648812952,0.0,0.0,0.0,0,0.25,0.03212540263946509,0.35,0.10756311540389234,0.20631843707799616,0.18163366897406052,0.5499999999999999,0.24652100241545227,0.3545875949718951,0.3107633584878392,0.75,0.36670314384129854,0.5112260054455449,0.4501514363507783,0.6111199999999999,0.5499999999999998,0.99,0.6499999999999998,0.8111199999999998,0.7499999999999998
140,102.31589285714288,2512179.62945093,32,33,35,106635.35709116398,104957.67266379778,104367.59597349637,2074719.8376839603,2394485.502110902,1.2496527132400514,0.0,0.6614399999999994,0,52244.68648812952,0.0,0.0,0.0,0,0.25,0.03212540263946509,0.35,0.10756311540389234,0.20631843707799616,0.18163366897406052,0.5499999999999999,0.24652100241545227,0.3545875949718951,0.3107633584878392,0.75,0.36670314384129854,0.5112260054455449,0.4501514363507783,0.6111199999999999,0.5499999999999998,0.99,0.6499999999999998,0.8111199999999998,0.7499999999999998
141,102.19706896551725,2497105.8100518845,32,33,35,106466.90904628331,104811.91697900867,104200.27934669482,2073658.2154456938,2391392.2761210306,1.2359386482417156,-0.016006551609439448,0.6614399999999994,0,53498.9484885273,0.0,0.0,0.0,0,0.25,0.031427874282757694,0.35,0.10661838580631586,0.20631843707799616,0.18049615808680208,0.5499999999999999,0.24501710631108287,0.3545875949718951,0.3090404718243115,0.75,0.36470314384129854,0.5112260054455449,0.4481514363507783,0.6111199999999999,0.5479999999999998,0.99,0.6479999999999998,0.8111199999999998,0.7479999999999998
142,101.34712765957445,2504942.050838505,32,33,35,106383.59736696536,104702.95183238343,104159.22942690123,2065391.4793505375,2389653.0874731494,1.184454443292503,-0.01562806109068829,0.6614399999999994,0,54760.4721231799,0.0,0.0,0.0,0,0.25,0.030783319887071205,0.35,0.10573665511083855,0.20631843707799616,0.17943153943305962,0.5499999999999999,0.24360207607128612,0.3545875949718951,0.30741834471832624,0.75,0.36270314384129854,0.5112260054455449,0.4461514363507783,0.6111199999999999,0.5459999999999998,0.99,0.6459999999999998,0.8111199999999998,0.7459999999999998
143,100.68245454545459,2475708.989057854,32,33,35,106520.18004030777,104694.52870977698,104200.29243572075,2058972.521974071,2390322.8309132797,1.144377753239422,-0.014568400235750957,0.6614399999999994,0,56022.00287262661,0.0,0.0,0.0,0,0.25,0.03029916641490286,0.35,0.10502356340417551,0.20631843707799616,0.17854448296268416,0.5499999999999999,0.24236992647566852,0.3545875949718951,0.3059925001350787,0.75,0.36087703943361954,0.5112260054455449,0.4441514363507783,0.6111199999999999,0.5439999999999998,0.99,0.6439999999999998,0.8111199999999998,0.7439999999999998
144,100.1545333333333,2474035.1877206694,32,33,35,106242.37267679765,104473.34666980148,103867.80508660541,2053860.1812110855,2384632.4607200082,1.1638880858154965,-0.015189002434256008,0.6614399999999994,0,57283.18235062839,0.0,0.0,0.0,0,0.25,0.029714941125032722,0.35,0.10420905556156795,0.20631843707799616,0.17755385700228257,0.5499999999999999,0.2410350550709239,0.3545875949718951,0.30445845177702463,0.75,0.35894631585504155,0.5112260054455449,0.4421514363507783,0.6111199999999999,0.5419999999999998,0.99,0.6419999999999998,0.8111199999999998,0.7419999999999998
145,100.08367346938776,2472088.582984939,32,33,35,106179.41225687537,104454.94682708806,103765.93951457235,2053256.0197223448,2383249.1092755347,1.1497963681008372,-0.014596159347288093,0.6614399999999994,0,58535.311662662156,0.0,0.0,0.0,0,0.25,0.02922191526197116,0.35,0.10348824246054097,0.20631843707799616,0.17666190413056887,0.5499999999999999,0.23979769581671442,0.3545875949718951,0.3030289425059823,0.75,0.35712281686880754,0.5112260054455449,0.4401514363507783,0.6111199999999999,0.5399999999999998,0.99,0.6399999999999998,0.8111199999999998,0.7399999999999998
146,100.08367346938776,2472088.582984939,32,33,35,106180.42832326521,104457.62170831834,103766.1442904536,2053337.169854098,2383297.891769048,1.1497963681008372,0.0,0.6614399999999994,0,58535.311662662156,0.0,0.0,0.0,0,0.25,0.02922191526197116,0.35,0.10348824246054097,0.20631843707799616,0.17666190413056887,0.5499999999999999,0.23979769581671442,0.3545875949718951,0.3030289425059823,0.75,0.35712281686880754,0.5112260054455449,0.4401514363507783,0.6111199999999999,0.5399999999999998,0.99,0.6399999999999998,0.8111199999999998,0.7399999999999998
