day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth
1531,100.41,1044161.5419679992,40,53,7,23348.43984503796,23237.94414843879,17519.78339342551
1532,100.0,1044161.5419679992,40,53,7,23305.061287307748,23156.75595056833,17514.17282712908
1533,100.0,1044161.5419679992,40,53,7,23306.085813778274,23157.02626547975,17515.473796324262
1534,104.74,1044161.5419679992,40,53,7,23821.706440395155,24101.25896161235,17603.107582647055
1535,102.75,1044161.5419679992,40,53,7,23604.987165537408,23705.589355039414,17568.923809443164
1536,102.75,1044161.5419679992,40,53,7,23605.28559791925,23706.58575938972,17571.67169193247
1537,334.86,1044161.5419679992,40,53,7,48812.74730392474,70642.15864608824,23708.781928055647
1538,102.75,1044161.5419679992,40,53,7,23612.19723502462,23704.409585426794,17578.089134314505
1539,100.0,1044161.5419679992,40,53,7,23314.49776414398,23145.8730549921,17499.931856327148
1540,100.0,1044161.5419679992,40,53,7,23315.517127039704,23146.105411578163,17501.131819815968
1541,102.01,1044161.5419679992,40,53,7,23534.383089745577,23555.057127157503,17560.839412359237
1542,102.79,1044161.5419679992,40,53,7,23620.4618942107,23715.8346175817,17579.064381426087
1543,101.75,1044161.5419679992,40,53,7,23506.28196426195,23503.208916318436,17539.90931621732
1544,101.75,1044161.5419679992,40,53,7,23506.547526831513,23503.97196171459,17529.461275594975
1545,102.25,1044161.5419679992,40,53,7,23562.027258188937,23608.32287256996,17532.787519923262
1546,100.0,1044161.5419679992,40,53,7,23317.57036246929,23141.537901433614,17491.96415118713
1547,100.0,1044161.5419679992,40,53,7,23318.588550429446,23141.734078495556,17493.248030823823
1548,102.25,1044161.5419679992,40,53,7,23563.866094374855,23609.647817672238,17528.132359930543
1549,102.25,1044161.5419679992,40,53,7,23565.116428942543,23610.459429913113,17519.168916918876
1550,102.25,1044161.5419679992,40,53,7,23566.005731949692,23611.424456178378,17510.26070159025
1551,98.25,1044161.5419679992,40,53,7,23127.732023381424,22771.251878722593,17472.490029501416
1552,102.25,1044161.5419679992,40,53,7,23564.15722220043,23613.511359467197,17498.08774218752
1553,100.0,1044161.5419679992,40,53,7,23319.418588152228,23138.80109469912,17486.62077483952
1554,100.0,1044161.5419679992,40,53,7,23320.43628774369,23138.96820215534,17488.011064609665
1555,98.75,1044161.5419679992,40,53,7,23183.812186183444,22873.553862001274,17482.721982724055
1556,99.25,1044161.5419679992,40,53,7,23238.85203131136,22978.32809091626,17486.561415102675
1557,102.25,1044161.5419679992,40,53,7,23567.664253380437,23616.24667553866,17496.662674723564
1558,101.75,1044161.5419679992,40,53,7,23512.057925600107,23510.32801783906,17494.79025095671
1559,101.81,1044161.5419679992,40,53,7,23519.238905488342,23523.767081311245,17494.869587290606
1560,100.0,1044161.5419679992,40,53,7,23322.60438749836,23136.020860078846,17493.45008643477
1561,100.0,1044161.5419679992,40,53,7,23323.621953137037,23136.161065463573,17494.874988398817
1562,99.74,1044161.5419679992,40,53,7,23295.479125636037,23079.612635259142,17495.808421674774
1563,100.73,1044161.5419679992,40,53,7,23403.937039914013,23292.1087267945,17498.20653209076
1564,98.75,1044161.5419679992,40,53,7,23188.13576630273,22863.91576317401,17498.174158338017
1565,101.75,1044161.5419679992,40,53,7,23516.08574964507,23512.753509444672,17500.46718830798
1566,101.75,1044161.5419679992,40,53,7,23516.433011701523,23513.083916879976,17501.903193438917
1567,100.0,1044161.5419679992,40,53,7,23326.350188854703,23133.15313520139,17502.83931659767
1568,100.0,1044161.5419679992,40,53,7,23327.367449611487,23133.26953290028,17504.275557793946
1569,101.14,1044161.5419679992,40,53,7,23452.54216261561,23380.90836950177,17506.03763132316
1570,99.77,1044161.5419679992,40,53,7,23302.636692765456,23081.652345667517,17507.561765025774
1571,101.75,1044161.5419679992,40,53,7,23520.091665894106,23514.48002955229,17509.00074270509
1572,101.25,1044161.5419679992,40,53,7,23465.5819803552,23405.23495288364,17510.439838656548
1573,99.0,1044161.5419679992,40,53,7,23219.951153829938,22910.873479797785,17511.87905288986
1574,100.0,1044161.5419679992,40,53,7,23330.04589336199,23130.816713131095,17513.318385414757
1575,100.0,1044161.5419679992,40,53,7,23331.065716708254,23130.910897601185,17514.757836240955
